matchPeriod,minute,eventName,TeamName
2H,91.56166921666667,Goal,Villarreal
2H,46.76452631666667,Goal,Real Betis
2H,46.80869953333333,Goal,Levante
2H,50.11627095,Yellow_Card,Real Betis
2H,54.2519822,Goal,Real Betis
2H,54.275100583333334,Goal,Levante
2H,64.10358965,Goal,Real Betis
2H,64.12015665,Goal,Levante
2H,92.09206303333335,Goal,Real Betis
2H,92.1256154,Goal,Levante
1H,10.93857215,Yellow_Card,Eibar
1H,16.739032016666666,Goal,Celta de Vigo
1H,16.76363525,Goal,Eibar
1H,17.77498175,Yellow_Card,Celta de Vigo
1H,22.890698033333333,Goal,Celta de Vigo
